Date,Open,High,Low,Close,Adj Close,Volume
1998-06-17,38.730637,40.041519,38.730637,39.684006,23.639318,1553600
1998-06-18,39.326492,40.637375,39.266907,40.577789,24.171749,942700
1998-06-19,42.305771,42.365356,40.041519,40.279861,23.994274,3532200
1998-06-22,40.160690,41.114059,39.743591,40.160690,23.923285,836200
1998-06-23,40.220276,41.054474,40.220276,40.756546,24.278225,972800
1998-06-24,40.518204,41.709915,40.458618,41.531158,24.739668,790900
1998-06-25,41.769501,41.888672,41.054474,41.471573,24.704163,1009800
1998-06-26,41.590744,42.127014,41.173645,41.829086,24.917128,837300
1998-06-29,42.365356,42.544113,40.696960,41.531158,24.739668,1043900
1998-06-30,41.411987,42.544113,40.994888,42.305771,25.201086,1382000
1998-07-01,42.544113,42.663288,41.471573,41.709915,24.846155,1591000
1998-07-02,41.471573,42.365356,41.471573,42.246185,25.165598,1223000
1998-07-06,42.305771,42.782459,42.067429,42.305771,25.201086,1141800
1998-07-07,42.544113,43.080387,42.246185,42.663288,25.414061,1645700
1998-07-08,42.544113,43.020802,42.305771,42.842045,25.520538,1396700
1998-07-09,42.901630,42.961216,42.067429,42.246185,25.165598,1580900
1998-07-10,42.365356,42.544113,41.531158,41.829086,24.917128,1220200
1998-07-13,41.709915,41.769501,40.994888,41.114059,24.491205,1557200
1998-07-14,41.173645,42.544113,41.173645,41.948257,24.988108,2445700
1998-07-15,42.067429,43.616657,41.769501,43.259144,25.768997,2471700
1998-07-16,43.437901,43.557072,42.782459,43.378315,25.839985,1417300
1998-07-17,43.735828,43.855000,43.497486,43.616657,25.981976,1705500
1998-07-20,43.378315,44.093342,43.020802,43.735828,26.052958,890700
1998-07-21,43.855000,44.093342,43.557072,43.795414,26.088463,998900
1998-07-22,43.795414,44.510441,43.259144,44.450855,26.478891,1796800
1998-07-23,43.735828,44.093342,42.961216,43.437901,25.875488,1680900
1998-07-24,43.497486,43.497486,41.829086,42.842045,25.520538,1234100
1998-07-27,42.544113,43.855000,41.709915,43.497486,25.910995,1018500
1998-07-28,43.139973,43.497486,42.127014,43.199558,25.733509,1106600
1998-07-29,43.080387,43.259144,42.424942,43.199558,25.733509,1029900
1998-07-30,43.199558,43.795414,42.901630,43.318729,25.804485,697300
1998-07-31,42.961216,43.020802,40.816132,41.471573,24.704163,1191900
1998-08-03,41.650330,42.007843,40.339447,41.531158,24.739668,1049700
1998-08-04,41.590744,41.888672,38.134781,38.134781,22.716476,1318000
1998-08-05,37.181412,37.181412,34.202133,35.274673,21.012745,10788500
1998-08-06,34.797989,35.513016,34.500061,35.155502,20.941746,5946500
1998-08-07,35.215088,35.572601,34.797989,35.393845,21.083729,3612100
1998-08-10,35.513016,35.989700,34.559647,34.559647,20.586805,3248200
1998-08-11,34.261719,34.500061,33.367935,33.785034,20.125376,1849700
1998-08-12,34.678818,34.678818,34.142548,34.440475,20.515820,3303800
1998-08-13,34.440475,35.274673,34.440475,35.155502,20.941746,2242400
1998-08-14,35.334259,35.632187,34.857574,35.334259,21.048233,1991300
1998-08-17,35.036331,36.585556,34.738403,36.585556,21.793613,1755200
1998-08-18,36.168457,36.823898,36.108871,36.704727,21.954618,1401900
1998-08-19,36.585556,37.240997,36.585556,36.943069,22.097193,1401200
1998-08-20,36.704727,37.300583,36.347214,37.300583,22.311026,2082900
1998-08-21,36.406799,36.645142,34.678818,35.691772,21.348726,1729500
1998-08-24,34.797989,35.095917,33.308350,33.367935,19.958746,2793100
1998-08-25,34.082962,34.619232,31.937880,34.380890,20.564631,6190600
1998-08-26,33.129589,34.917160,33.129589,34.678818,20.742838,3341300
1998-08-27,34.202133,34.619232,33.546692,34.321304,20.529001,2719000
1998-08-28,33.844620,34.797989,33.546692,34.321304,20.529001,2398200
1998-08-31,34.082962,34.678818,32.712490,32.712490,19.566700,2641800
1998-09-01,32.712490,34.619232,32.354977,33.546692,20.065668,2515500
1998-09-02,33.129589,33.427521,32.414562,32.712490,19.566700,1775300
1998-09-03,32.474148,32.474148,31.103682,31.461195,18.818249,1954600
1998-09-04,31.937880,33.070004,31.103682,32.414562,19.388489,1615600
1998-09-08,33.129589,33.785034,32.712490,33.785034,20.208227,2813100
1998-09-09,33.785034,34.500061,33.487106,33.844620,20.243874,880100
1998-09-10,33.129589,33.189178,31.520781,31.878294,19.067732,1385400
1998-09-11,31.699537,32.235806,31.461195,31.997465,19.139017,1816800
1998-09-14,33.010418,34.797989,32.891247,34.321304,20.529001,1785100
1998-09-15,34.082962,34.917160,33.367935,34.797989,20.814117,1078500
1998-09-16,34.559647,34.976746,33.844620,34.976746,20.921028,1508600
1998-09-17,34.082962,34.738403,33.665863,34.380890,20.564631,1249900
1998-09-18,34.797989,34.797989,33.546692,34.082962,20.386440,1453900
1998-09-21,32.652905,34.797989,32.414562,34.082962,20.386440,966500
1998-09-22,34.678818,34.678818,33.189178,33.665863,20.136944,1020800
1998-09-23,33.904205,35.095917,33.665863,34.797989,20.814117,2133100
1998-09-24,34.202133,34.500061,33.487106,33.904205,20.279514,1164600
1998-09-25,33.308350,34.559647,33.070004,33.844620,20.243874,694500
1998-09-28,34.142548,34.321304,33.367935,33.606277,20.101318,1262000
1998-09-29,34.082962,34.976746,33.844620,34.380890,20.564631,1262900
1998-09-30,33.963791,34.321304,33.487106,33.725449,20.172592,1512000
1998-10-01,32.772076,33.963791,31.520781,32.354977,19.352850,2149000
1998-10-02,32.831661,33.248764,31.937880,32.652905,19.531061,1647500
